# Variance report for acetime.acetz.acetz compared to Python 3.9
# zoneinfo.ZoneInfo.
#
# Context
# -------
# AceTimePython Version: 0.5.6
# AceTimePython ZoneDB Version: 2022g
# AceTimePython ZoneDB Start Year: 1900
# AceTimePython ZoneDB Until Year: 10000
# ZoneInfo Version: Python 3.9 2021e
# Report Start Year: 1950
# Report Until Year: 2100
#
# Report Format
# -------------
# Zone {zone_name}
# {seconds}: {date}: {label}: acetz {value}; zoneinfo {value}
# [...]

Zone Africa/Casablanca
3550442340: 2082-07-05 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3550442400: 2082-07-05 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3577658340: 2083-05-16 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3577658400: 2083-05-16 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3580682340: 2083-06-20 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3580682400: 2083-06-20 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3607898340: 2084-04-30 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3607898400: 2084-04-30 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3611527140: 2084-06-11 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3611527200: 2084-06-11 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3638743140: 2085-04-22 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
3638743200: 2085-04-22 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3642371940: 2085-06-03 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
3642372000: 2085-06-03 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
